"","CAM","CB","CDM","CM","GK","LB","LM","LW","RB","RM","RW","ST"
"CAM",743,0,13,143,0,3,27,18,3,23,13,38
"CB",1,2850,153,12,0,65,1,0,99,1,0,3
"CDM",10,87,1094,199,0,6,8,1,30,4,2,6
"CM",98,9,86,1893,0,6,4,4,10,2,7,20
"GK",0,0,0,0,1999,0,0,0,0,0,0,0
"LB",15,51,40,26,0,667,39,5,443,32,8,7
"LM",53,1,6,27,0,25,547,60,28,189,45,54
"LW",47,1,1,7,0,7,66,156,3,45,34,16
"RB",10,68,56,25,0,313,35,7,826,49,10,5
"RM",58,1,12,21,0,17,244,35,24,461,44,44
"RW",52,0,1,11,0,3,45,44,3,45,177,21
"ST",43,0,2,21,0,1,23,12,0,14,11,2298
